movieId,poster_path,overview,release_year,duration,language,tmdb_rating,vote_count
13997,/bqIW5oE4WeHAvk1nh2Y6rfOLGrF.jpg,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",1996,87,EN,6.031,413
2086,/A1FJwUVg84sQSjHVz5jVMXQvifJ.jpg,An ordinary man is suddenly forced into a plot to kill a politician in exchange for his kidnapped daughter's freedom.,1995,89,EN,6.227,739
9095,/eAOPWQdwytdRaLK3VXi7JFJFqmj.jpg,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",1996,104,EN,5.79,321
12158,/fodPA5x3REtOwColG17CucreZqM.jpg,"Detective Rita Veder is assigned to a baffling serial murder case. After examining the crime scene — a corpse-filled ship found adrift at sea — she meets Maximilian, a smooth-talking Caribbean playboy determined to romance her.",1995,102,EN,5.097,590
40154,/lam5mVjru6yhgG8N1MHCqAUrxzL.jpg,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope.",1995,99,EN,7.085,41
9208,/iBPMwYYJFvdCBkXrwV75peo5Lz2.jpg,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",1996,108,EN,6.064,1548
63076,/laPSb9I8TuYslOh1OcgaTByWKnw.jpg,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.",1995,106,EN,6.6,14
9283,/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg,"During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",1996,112,EN,6.7,371
11062,/w7EkAl4Oi8Lc6VQKaqRHrOV3CxR.jpg,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",1996,111,EN,5.9,292
13685,/6E7mJ5wpzTFbYFbJvTzzZ8Til9C.jpg,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a harebrained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.",1996,91,EN,6.7,1082
